trial,agent.0.net.batch_norm,agent.0.net.fc_hid_layers,agent.0.net.gamma,agent.0.net.lr,final_return_ma,strength,max_strength,final_strength,sample_efficiency,training_efficiency,stability,consistency
8,False,64,2.378128677736959,0.02653467450324433,592.9082946777344,-50.09172439575195,227.83334350585938,213.25,1.6950947610894218e-05,0.0,0.6803442253731191,3.5463612440554964
5,True,32,1.5290199100069883,0.035570817439146994,575.868896484375,-67.13105773925781,157.0,-16.33331298828125,4.539302972261794e-05,0.0,0.6004537045955658,1.0
1,True,32,-0.03807405767641825,0.06359564665501836,546.2932281494141,-96.70676517486572,153.875,82.0,0.000145197547681164,0.0,0.7856613248586655,2.703633568605574
3,True,32,0.6313427930963512,3.7099845041354564e-05,543.7710266113281,-99.22895050048828,169.5,169.5,6.158060568850487e-05,0.0,0.8983928356319666,1.8007520418322074
0,True,32,-0.9100960725755254,0.047984790951533296,506.7225341796875,-136.27740478515625,188.25,94.5,3.181320789735764e-05,0.0,0.8181838393211365,1.0
6,False,64,-0.8798017869334593,0.006275418112011427,480.1835021972656,-162.8165283203125,369.5,257.0,6.290898818406276e-05,0.0,0.9033473245799541,2.0485530363407216
2,True,32,2.0574789037814023,0.07684596940789956,461.9463806152344,-181.05361938476562,257.0,257.0,5.582926678471267e-05,0.0,0.9255896285176277,1.0
7,False,128,0.8961012881444148,0.06737821073224552,431.61766052246094,-211.38233184814453,119.5,119.5,5.421957575890701e-05,0.0,0.9471491975709796,1.9766874715588192
4,False,128,2.7659357363656354,-0.001384846433413067,381.5084533691406,-261.4915466308594,7.0,7.0,4.597546285367571e-05,0.0,0.9880812326446176,1.0
9,True,64,1.067186998634488,-0.08383695742246443,321.242431640625,-321.757568359375,-143.0,-223.0,3.871380613418296e-05,0.0,0.8942532390356064,1.0
